badWords,neutralWords,colour,correct_key,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instrText.started,instrText.stopped,keyResp.keys,keyResp.rt,keyResp.started,keyResp.stopped,instrText_2.started,instrText_2.stopped,keyResp_2.keys,keyResp_2.rt,keyResp_2.started,keyResp_2.stopped,textStroopWord.started,textStroopWord.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,16.841489099984756,None,space,2.3239967999979854,16.841489099984756,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
,,,,,,,,,,,,,,,,,,19.191029399982654,None,space,0.7581954000052065,19.191029399982654,None,,,,,,,,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Mrok,Skok,blue,z,0,0,0,2,,,,,,,,,,,,,,,,,20.974816700007068,None,z,1,1.4225885000196286,20.974816700007068,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Złość,Gość,red,m,0,1,1,0,,,,,,,,,,,,,,,,,23.407708999991883,None,x,0,0.37395949999336153,23.407708999991883,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Amputacja,Kreacja,red,z,0,2,2,8,,,,,,,,,,,,,,,,,24.791746800008696,None,n,0,0.30314929998712614,24.791746800008696,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Gwałt,Skaut,green,x,0,3,3,1,,,,,,,,,,,,,,,,,26.107709800009616,None,m,0,0.273428899992723,26.107709800009616,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Terroryzm,Behawioryzm,green,x,0,4,4,17,,,,,,,,,,,,,,,,,27.390962700010277,None,x,1,0.3272791000199504,27.390962700010277,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Brud,Klub,red,m,0,5,5,12,,,,,,,,,,,,,,,,,28.724320799985435,None,m,1,0.36116120000951923,28.724320799985435,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Bić,Nić,blue,z,0,6,6,18,,,,,,,,,,,,,,,,,30.091081499995198,None,n,0,0.27566029998706654,30.091081499995198,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Wojna,Wolna,yellow,n,0,7,7,19,,,,,,,,,,,,,,,,,31.374790400004713,None,z,0,0.23101089999545366,31.374790400004713,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Molestowanie,Bieganie,blue,n,0,8,8,14,,,,,,,,,,,,,,,,,32.60778349998873,None,x,0,0.2541528999863658,32.60778349998873,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Zabijanie,Podjadanie,blue,z,0,9,9,10,,,,,,,,,,,,,,,,,33.87504739998258,None,n,0,0.25804660000721924,33.87504739998258,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Więzienie,Schronienie,blue,n,0,10,10,6,,,,,,,,,,,,,,,,,35.141461499995785,None,m,0,0.23974630000884645,35.141461499995785,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Krew,Brew,green,x,0,11,11,13,,,,,,,,,,,,,,,,,36.391085799987195,None,x,1,0.23023950000060722,36.391085799987195,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Węże,Jeże,red,m,0,12,12,4,,,,,,,,,,,,,,,,,37.62484070000937,None,z,0,0.21366360000683926,37.62484070000937,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Śmierć,Pięć,yellow,n,0,13,13,3,,,,,,,,,,,,,,,,,38.84107669998775,None,x,0,0.20449179998831823,38.84107669998775,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Pedofil,Profil,yellow,m,0,14,14,15,,,,,,,,,,,,,,,,,40.05772009998327,None,n,0,0.213014100008877,40.05772009998327,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Psychoza,Glukoza,green,x,0,15,15,9,,,,,,,,,,,,,,,,,41.27448259998346,None,m,0,0.09114880001288839,41.27448259998346,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Bieda,Dieta,yellow,n,0,16,16,11,,,,,,,,,,,,,,,,,42.37421489998815,None,m,0,0.04840209998656064,42.37421489998815,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Choroba,Gospoda,yellow,m,0,17,17,7,,,,,,,,,,,,,,,,,43.424987700011116,None,n,0,0.06057230001897551,43.424987700011116,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Przemoc,Równonoc,red,m,0,18,18,16,,,,,,,,,,,,,,,,,44.49114410000038,None,z,0,0.07442290001199581,44.49114410000038,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Maczeta,Skarpeta,green,x,0,19,19,5,,,,,,,,,,,,,,,,,45.57432680000784,None,x,1,0.18434370000613853,45.57432680000784,None,,,,,,,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.79088839999167,None,space,0.8785605999873951,45.79088839999167,None,,,,,,,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Zabijanie,Podjadanie,blue,z,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,47.69134180000401,None,x,0.26627980000921525,47.69134180000401,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Bić,Nić,blue,z,,,,,0,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,48.95749870000873,None,z,0.12918220000574365,48.95749870000873,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Pedofil,Profil,yellow,m,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,50.091396900010295,None,n,0.11429309999221005,50.091396900010295,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Węże,Jeże,red,m,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,51.2073693999846,None,m,0.07026879998738877,51.2073693999846,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Maczeta,Skarpeta,green,x,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,52.29089589999057,None,x,0.6262314000050537,52.29089589999057,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Gwałt,Skaut,green,x,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,53.92436489998363,None,n,0.18484770000213757,53.92436489998363,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Terroryzm,Behawioryzm,green,x,,,,,0,6,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,55.12409719999414,None,m,0.6576530000020284,55.12409719999414,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Przemoc,Równonoc,red,m,,,,,0,7,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,56.79108009999618,None,n,0.1827874000009615,56.79108009999618,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Psychoza,Glukoza,green,x,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,57.97422070000903,None,z,0.02353830001084134,57.97422070000903,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Molestowanie,Bieganie,blue,n,,,,,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,59.00756880000699,None,x,0.20627500000409782,59.00756880000699,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Śmierć,Pięć,yellow,n,,,,,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,60.22468660000595,None,n,0.30037199999787845,60.22468660000595,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Bieda,Dieta,yellow,n,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,61.54090880000149,None,m,0.5935847000218928,61.54090880000149,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Więzienie,Schronienie,blue,n,,,,,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,63.14133330000914,None,n,0.18424790000426583,63.14133330000914,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Brud,Klub,red,m,,,,,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,64.34033289999934,None,x,0.20937799999956042,64.34033289999934,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Mrok,Skok,blue,z,,,,,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,65.55699069998809,None,z,0.21683269998175092,65.55699069998809,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Krew,Brew,green,x,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,66.77412329998333,None,n,0.09567280000192113,66.77412329998333,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Amputacja,Kreacja,red,z,,,,,0,16,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,67.87472429999616,None,m,0.03502769998158328,67.87472429999616,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Choroba,Gospoda,yellow,m,,,,,0,17,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,68.9245735000004,None,n,0.1452376999950502,68.9245735000004,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Wojna,Wolna,yellow,n,,,,,0,18,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,70.07410229998641,None,x,0.09969849998014979,70.07410229998641,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Złość,Gość,red,m,,,,,0,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,71.17423539998708,None,z,0.5670376000052784,71.17423539998708,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Terroryzm,Behawioryzm,green,x,,,,,1,0,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,72.75730940001085,None,m,0.13596489999326877,72.75730940001085,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Brud,Klub,red,m,,,,,1,1,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,73.9073236999975,None,n,0.5543851999973413,73.9073236999975,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Pedofil,Profil,yellow,m,,,,,1,2,22,15,,,,,,,,,,,,,,,,,,,,,,,,,,75.47441659998731,None,z,0.06033119998755865,75.47441659998731,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Złość,Gość,red,m,,,,,1,3,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.54070650000358,None,x,0.24111920001450926,76.54070650000358,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Węże,Jeże,red,m,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,77.79124049999518,None,z,0.12663029998657294,77.79124049999518,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Bić,Nić,blue,z,,,,,1,5,25,18,,,,,,,,,,,,,,,,,,,,,,,,,,78.92419029999292,None,n,0.3768913999956567,78.92419029999292,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Bieda,Dieta,yellow,n,,,,,1,6,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,80.30733129999135,None,m,0.7863860999932513,80.30733129999135,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Gwałt,Skaut,green,x,,,,,1,7,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,82.10769629999413,None,n,0.5374281000113115,82.10769629999413,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Przemoc,Równonoc,red,m,,,,,1,8,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,83.65735610001138,None,z,1.0516807999811135,83.65735610001138,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Krew,Brew,green,x,,,,,1,9,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,85.72443480000948,None,x,0.240702599985525,85.72443480000948,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Choroba,Gospoda,yellow,m,,,,,1,10,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,86.97398690000409,None,z,0.20725669999956153,86.97398690000409,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Molestowanie,Bieganie,blue,n,,,,,1,11,31,14,,,,,,,,,,,,,,,,,,,,,,,,,,88.19068060000427,None,n,0.49601579998852685,88.19068060000427,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Więzienie,Schronienie,blue,n,,,,,1,12,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,89.69102369999746,None,m,0.09967019999749027,89.69102369999746,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Psychoza,Glukoza,green,x,,,,,1,13,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,90.79111520000151,None,x,0.2786828000098467,90.79111520000151,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Śmierć,Pięć,yellow,n,,,,,1,14,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,92.07377590000397,None,z,0.18116000000736676,92.07377590000397,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Mrok,Skok,blue,z,,,,,1,15,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,93.25772540000617,None,n,0.2603268999955617,93.25772540000617,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Zabijanie,Podjadanie,blue,z,,,,,1,16,36,10,,,,,,,,,,,,,,,,,,,,,,,,,,94.52434860001085,None,x,0.5460954000009224,94.52434860001085,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Maczeta,Skarpeta,green,x,,,,,1,17,37,5,,,,,,,,,,,,,,,,,,,,,,,,,,96.07391469998402,None,m,3.723291899979813,96.07391469998402,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Wojna,Wolna,yellow,n,,,,,1,18,38,19,,,,,,,,,,,,,,,,,,,,,,,,,,100.8070621000079,None,z,0.42245089999050833,100.8070621000079,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Amputacja,Kreacja,red,z,,,,,1,19,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,102.24024980000104,None,x,0.4375718999945093,102.24024980000104,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Śmierć,Pięć,yellow,n,,,,,2,0,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,103.69104589999188,None,z,0.5381825999938883,103.69104589999188,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Wojna,Wolna,yellow,n,,,,,2,1,41,19,,,,,,,,,,,,,,,,,,,,,,,,,,105.24054359999718,None,x,0.3569437999976799,105.24054359999718,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
Pedofil,Profil,yellow,m,,,,,2,2,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,106.60770029999549,None,m,0.6372640999907162,106.60770029999549,None,1,001,2022-09-17_16h02.34.334,Stroop,2022.1.4,59.99577629312532,
