1.5954 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
24.4236 	EXP 	textStroopWord: autoDraw = False
24.4236 	EXP 	textStroopWord: height = 0.05
24.4236 	EXP 	textStroopWord: height = 0.05
24.4236 	EXP 	textStroopWord: height = 0.05
24.4236 	EXP 	textStroopWord: text = 'Wolna'
25.4069 	EXP 	textStroopWord: autoDraw = True
29.4067 	EXP 	textStroopWord: autoDraw = False
30.7908 	DATA 	Keypress: comma
34.6746 	EXP 	New trial (rep=0, index=4): {'badWords': 'Maczeta', 'neutralWords': 'Skarpeta', 'colour': None}
34.6780 	DATA 	Keypress: x
34.6902 	EXP 	textStroopWord: autoDraw = False
34.6902 	EXP 	textStroopWord: height = 0.05
34.6902 	EXP 	textStroopWord: height = 0.05
34.6902 	EXP 	textStroopWord: height = 0.05
34.6902 	EXP 	textStroopWord: text = 'Skarpeta'
35.6734 	EXP 	textStroopWord: autoDraw = True
36.3414 	EXP 	New trial (rep=0, index=5): {'badWords': 'Molestowanie', 'neutralWords': 'Bieganie', 'colour': None}
36.3448 	DATA 	Keypress: z
36.3568 	EXP 	textStroopWord: autoDraw = False
36.3568 	EXP 	textStroopWord: height = 0.05
36.3568 	EXP 	textStroopWord: height = 0.05
36.3568 	EXP 	textStroopWord: height = 0.05
36.3568 	EXP 	textStroopWord: text = 'Bieganie'
37.3402 	EXP 	textStroopWord: autoDraw = True
37.3414 	EXP 	New trial (rep=0, index=6): {'badWords': 'Przemoc', 'neutralWords': 'Równonoc', 'colour': None}
37.3453 	DATA 	Keypress: n
37.3568 	EXP 	textStroopWord: autoDraw = False
37.3568 	EXP 	textStroopWord: height = 0.05
37.3568 	EXP 	textStroopWord: height = 0.05
37.3568 	EXP 	textStroopWord: height = 0.05
37.3568 	EXP 	textStroopWord: text = 'Równonoc'
37.6406 	DATA 	Keypress: m
37.7739 	DATA 	Keypress: n
